customer_id,cust_gender,cust_size,cust_skin_tone,cust_pref_color,cust_occasion,prod_category,prod_subcategory,prod_material,prod_color,prod_price,liked
0,Female,XL,Dark,white,Casual,Men,Shirt,Linen,blue,1299.0,0
0,Female,XL,Dark,white,Casual,Kids,Shorts,Georgette,cream,1999.0,0
0,Female,XL,Dark,white,Casual,Women,Saree,Denim,peach,1999.0,0
0,Female,XL,Dark,white,Casual,Kids,Ethnic,Wool,white,1299.0,1
0,Female,XL,Dark,white,Casual,Men,T-Shirt,Rayon,green,2999.0,1
0,Female,XL,Dark,white,Casual,Women,Salwar,Cotton,magenta,299.0,1
0,Female,XL,Dark,white,Casual,Men,Shirt,Wool,peach,1999.0,0
0,Female,XL,Dark,white,Casual,Men,Blazer,Linen,cream,299.0,0
0,Female,XL,Dark,white,Casual,Newborn,Romper,Wool,burgundy,299.0,0
0,Female,XL,Dark,white,Casual,Men,Kurta,Silk,teal,1299.0,0
0,Female,XL,Dark,white,Casual,Kids,T-Shirt,Silk,olive,499.0,0
0,Female,XL,Dark,white,Casual,Men,Trousers,Rayon,olive,499.0,0
0,Female,XL,Dark,white,Casual,Kids,T-Shirt,Silk,white,999.0,1
0,Female,XL,Dark,white,Casual,Men,Shirt,Linen,green,1299.0,0
0,Female,XL,Dark,white,Casual,Men,Blazer,Wool,white,499.0,1
0,Female,XL,Dark,white,Casual,Newborn,Set,Georgette,pink,4999.0,0
0,Female,XL,Dark,white,Casual,Men,T-Shirt,Linen,red,499.0,0
0,Female,XL,Dark,white,Casual,Women,Salwar,Wool,navy,4999.0,0
0,Female,XL,Dark,white,Casual,Newborn,Romper,Wool,burgundy,999.0,1
0,Female,XL,Dark,white,Casual,Women,Kurti,Linen,yellow,299.0,1
0,Female,XL,Dark,white,Casual,Newborn,Set,Rayon,burgundy,4999.0,0
0,Female,XL,Dark,white,Casual,Women,Dress,Silk,black,1299.0,0
0,Female,XL,Dark,white,Casual,Men,Shirt,Georgette,olive,499.0,0
0,Female,XL,Dark,white,Casual,Women,Top,Rayon,teal,1999.0,1
0,Female,XL,Dark,white,Casual,Men,Trousers,Denim,lavender,1299.0,0
1,Female,S,Warm,green,Casual,Newborn,Onesie,Denim,yellow,4999.0,0
1,Female,S,Warm,green,Casual,Women,Dress,Linen,yellow,1999.0,1
1,Female,S,Warm,green,Casual,Kids,T-Shirt,Rayon,olive,999.0,0
1,Female,S,Warm,green,Casual,Kids,T-Shirt,Cotton,black,499.0,0
1,Female,S,Warm,green,Casual,Kids,T-Shirt,Georgette,gold,4999.0,1
1,Female,S,Warm,green,Casual,Women,Dress,Georgette,green,299.0,1
1,Female,S,Warm,green,Casual,Men,Shirt,Georgette,olive,499.0,0
1,Female,S,Warm,green,Casual,Women,Dress,Denim,pink,1299.0,1
1,Female,S,Warm,green,Casual,Kids,Ethnic,Cotton,olive,1999.0,1
1,Female,S,Warm,green,Casual,Women,Salwar,Denim,magenta,4999.0,1
1,Female,S,Warm,green,Casual,Men,Trousers,Silk,green,4999.0,1
1,Female,S,Warm,green,Casual,Men,Trousers,Rayon,navy,1999.0,0
1,Female,S,Warm,green,Casual,Men,Trousers,Cotton,royal blue,1999.0,0
1,Female,S,Warm,green,Casual,Men,Shirt,Linen,blue,1299.0,0
1,Female,S,Warm,green,Casual,Newborn,Set,Rayon,burgundy,4999.0,0
1,Female,S,Warm,green,Casual,Women,Kurti,Linen,yellow,299.0,0
