date,day_of_week,day_of_month,month,day_of_year,is_weekend,is_festival,day_index,orders,revenue
2024-07-09,1,9,7,191,0,0,0,2,3724.93
2024-07-10,2,10,7,192,0,0,1,1,4101.29
2024-07-11,3,11,7,193,0,0,2,0,3793.58
2024-07-12,4,12,7,194,0,0,3,2,3370.77
2024-07-13,5,13,7,195,1,0,4,5,5817.71
2024-07-14,6,14,7,196,1,0,5,4,4943.13
2024-07-15,0,15,7,197,0,0,6,3,4212.55
2024-07-16,1,16,7,198,0,0,7,2,3327.33
2024-07-17,2,17,7,199,0,0,8,2,3817.12
2024-07-18,3,18,7,200,0,0,9,3,3989.0
2024-07-19,4,19,7,201,0,0,10,3,4011.66
2024-07-20,5,20,7,202,1,0,11,4,5553.26
2024-07-21,6,21,7,203,1,0,12,4,5270.38
2024-07-22,0,22,7,204,0,0,13,4,3596.59
2024-07-23,1,23,7,205,0,0,14,3,3033.71
2024-07-24,2,24,7,206,0,0,15,2,3570.0
2024-07-25,3,25,7,207,0,0,16,1,3898.82
2024-07-26,4,26,7,208,0,0,17,2,3483.25
2024-07-27,5,27,7,209,1,0,18,3,4998.1
2024-07-28,6,28,7,210,1,0,19,6,5919.36
2024-07-29,0,29,7,211,0,0,20,3,3010.15
2024-07-30,1,30,7,212,0,0,21,4,4090.07
2024-07-31,2,31,7,213,0,0,22,2,3512.82
2024-08-01,3,1,8,214,0,0,23,2,3473.12
2024-08-02,4,2,8,215,0,0,24,2,3294.36
2024-08-03,5,3,8,216,1,0,25,3,4292.21
2024-08-04,6,4,8,217,1,0,26,4,4413.51
2024-08-05,0,5,8,218,0,0,27,3,3476.36
2024-08-06,1,6,8,219,0,0,28,5,4126.7
2024-08-07,2,7,8,220,0,0,29,1,2778.22
2024-08-08,3,8,8,221,0,0,30,3,3600.0
2024-08-09,4,9,8,222,0,0,31,1,3095.19
2024-08-10,5,10,8,223,1,0,32,4,5062.19
2024-08-11,6,11,8,224,1,0,33,4,5178.26
2024-08-12,0,12,8,225,0,0,34,3,3815.91
2024-08-13,1,13,8,226,0,0,35,3,3706.36
2024-08-14,2,14,8,227,0,0,36,4,2856.55
2024-08-15,3,15,8,228,0,1,37,4,6304.22
2024-08-16,4,16,8,229,0,0,38,3,3587.87
2024-08-17,5,17,8,230,1,0,39,3,3467.15
2024-08-18,6,18,8,231,1,0,40,5,5335.33
2024-08-19,0,19,8,232,0,0,41,2,3402.46
2024-08-20,1,20,8,233,0,0,42,2,3428.14
2024-08-21,2,21,8,234,0,0,43,2,3272.55
2024-08-22,3,22,8,235,0,0,44,3,3803.39
2024-08-23,4,23,8,236,0,0,45,3,3820.16
2024-08-24,5,24,8,237,1,0,46,5,5256.38
2024-08-25,6,25,8,238,1,0,47,2,4051.22
2024-08-26,0,26,8,239,0,0,48,3,3546.34
2024-08-27,1,27,8,240,0,0,49,3,3383.97
2024-08-28,2,28,8,241,0,0,50,3,4341.33
2024-08-29,3,29,8,242,0,0,51,4,3651.34
2024-08-30,4,30,8,243,0,0,52,2,2942.87
2024-08-31,5,31,8,244,1,0,53,3,5358.32
2024-09-01,6,1,9,245,1,0,54,3,4278.83
2024-09-02,0,2,9,246,0,0,55,2,3588.28
2024-09-03,1,3,9,247,0,0,56,3,4364.2
2024-09-04,2,4,9,248,0,0,57,2,3189.83
2024-09-05,3,5,9,249,0,0,58,3,3931.05
2024-09-06,4,6,9,250,0,0,59,2,3777.0
2024-09-07,5,7,9,251,1,1,60,10,12284.24
2024-09-08,6,8,9,252,1,0,61,4,5367.72
2024-09-09,0,9,9,253,0,0,62,2,3894.5
2024-09-10,1,10,9,254,0,0,63,4,3419.87
2024-09-11,2,11,9,255,0,0,64,2,4156.5
2024-09-12,3,12,9,256,0,0,65,2,3684.67
2024-09-13,4,13,9,257,0,0,66,3,3343.76
2024-09-14,5,14,9,258,1,0,67,5,5405.29
2024-09-15,6,15,9,259,1,0,68,4,4696.38
2024-09-16,0,16,9,260,0,0,69,3,3464.19
2024-09-17,1,17,9,261,0,0,70,1,4095.49
2024-09-18,2,18,9,262,0,0,71,1,3880.46
2024-09-19,3,19,9,263,0,0,72,2,4035.91
2024-09-20,4,20,9,264,0,0,73,3,3157.28
2024-09-21,5,21,9,265,1,0,74,3,5031.21
2024-09-22,6,22,9,266,1,0,75,3,4247.36
2024-09-23,0,23,9,267,0,0,76,1,3164.84
2024-09-24,1,24,9,268,0,0,77,2,3641.07
2024-09-25,2,25,9,269,0,0,78,4,3754.62
2024-09-26,3,26,9,270,0,0,79,3,3549.25
2024-09-27,4,27,9,271,0,0,80,2,4332.18
2024-09-28,5,28,9,272,1,0,81,5,5449.27
2024-09-29,6,29,9,273,1,0,82,5,5288.61
2024-09-30,0,30,9,274,0,0,83,2,3712.99
2024-10-01,1,1,10,275,0,0,84,4,4009.96
2024-10-02,2,2,10,276,0,0,85,3,4017.05
2024-10-03,3,3,10,277,0,0,86,3,3361.02
2024-10-04,4,4,10,278,0,0,87,4,3964.98
2024-10-05,5,5,10,279,1,0,88,4,4686.07
2024-10-06,6,6,10,280,1,0,89,4,4259.9
2024-10-07,0,7,10,281,0,0,90,3,3349.79
2024-10-08,1,8,10,282,0,0,91,3,3220.33
2024-10-09,2,9,10,283,0,0,92,2,3759.95
2024-10-10,3,10,10,284,0,0,93,2,3899.26
2024-10-11,4,11,10,285,0,0,94,3,3925.42
2024-10-12,5,12,10,286,1,1,95,6,8990.75
2024-10-13,6,13,10,287,1,0,96,5,4730.22
2024-10-14,0,14,10,288,0,0,97,5,3997.03
2024-10-15,1,15,10,289,0,0,98,3,4279.18
2024-10-16,2,16,10,290,0,0,99,2,3608.19
2024-10-17,3,17,10,291,0,0,100,1,3435.9
2024-10-18,4,18,10,292,0,0,101,1,3683.7
2024-10-19,5,19,10,293,1,0,102,6,4971.53
2024-10-20,6,20,10,294,1,0,103,4,4742.53
2024-10-21,0,21,10,295,0,0,104,3,4044.18
2024-10-22,1,22,10,296,0,0,105,3,3823.3
2024-10-23,2,23,10,297,0,0,106,2,3635.19
2024-10-24,3,24,10,298,0,1,107,5,8896.7
2024-10-25,4,25,10,299,0,0,108,2,4098.48
2024-10-26,5,26,10,300,1,0,109,4,5539.6
2024-10-27,6,27,10,301,1,0,110,4,4439.65
2024-10-28,0,28,10,302,0,0,111,3,4107.47
2024-10-29,1,29,10,303,0,0,112,1,4037.73
2024-10-30,2,30,10,304,0,0,113,4,3275.97
2024-10-31,3,31,10,305,0,0,114,1,3698.08
2024-11-01,4,1,11,306,0,1,115,5,7757.6
2024-11-02,5,2,11,307,1,0,116,3,5044.53
2024-11-03,6,3,11,308,1,0,117,4,5233.52
2024-11-04,0,4,11,309,0,0,118,4,4336.57
2024-11-05,1,5,11,310,0,0,119,4,4001.75
2024-11-06,2,6,11,311,0,0,120,2,3686.78
2024-11-07,3,7,11,312,0,0,121,3,4309.49
2024-11-08,4,8,11,313,0,0,122,2,3908.7
2024-11-09,5,9,11,314,1,0,123,5,4895.59
2024-11-10,6,10,11,315,1,0,124,5,5745.91
2024-11-11,0,11,11,316,0,0,125,4,4192.85
