prod_category,prod_subcategory,prod_price,month,week_of_year,is_festival_week,units_sold_last_week,avg_sales_4wk,current_stock,units_sold_next_week
Newborn,Onesie,2999.0,7,28,0,1.98,1.98,3,2.35
Newborn,Onesie,2999.0,7,29,0,2.35,2.07,1,1.62
Newborn,Onesie,2999.0,7,30,0,1.62,1.98,2,2.19
Newborn,Onesie,2999.0,8,31,0,2.19,2.04,4,2.06
Newborn,Onesie,2999.0,8,32,0,2.06,2.05,4,1.65
Newborn,Onesie,2999.0,8,33,1,1.65,1.88,2,3.58
Newborn,Onesie,2999.0,8,34,0,3.58,2.37,3,1.88
Newborn,Onesie,2999.0,8,35,0,1.88,2.29,3,1.79
Newborn,Onesie,2999.0,9,36,1,1.79,2.22,2,3.19
Newborn,Onesie,2999.0,9,37,0,3.19,2.61,3,1.64
Newborn,Onesie,2999.0,9,38,0,1.64,2.12,2,1.7
Newborn,Onesie,2999.0,9,39,0,1.7,2.08,4,1.5
Newborn,Onesie,2999.0,10,40,0,1.5,2.01,2,1.72
Newborn,Onesie,2999.0,10,41,1,1.72,1.64,3,2.86
Newborn,Onesie,2999.0,10,42,0,2.86,1.95,2,1.94
Newborn,Onesie,2999.0,10,43,1,1.94,2.01,4,3.72
Newborn,Onesie,2999.0,10,44,1,3.72,2.56,5,3.7
Newborn,Onesie,2999.0,11,45,1,3.7,3.06,2,3.53
Newborn,Onesie,2999.0,11,46,0,3.53,3.22,3,1.76
Newborn,Onesie,2999.0,11,47,0,1.76,3.18,5,2.0
Newborn,Onesie,2999.0,11,48,0,2.0,2.75,3,1.49
Newborn,Onesie,2999.0,12,49,0,1.49,2.2,2,1.6
Newborn,Onesie,2999.0,12,50,0,1.6,1.71,3,2.03
Newborn,Onesie,2999.0,12,51,1,2.03,1.78,3,3.8
Newborn,Onesie,2999.0,12,52,1,3.8,2.23,4,3.59
Newborn,Onesie,2999.0,1,1,0,3.59,2.76,5,2.33
Newborn,Onesie,2999.0,1,2,1,2.33,2.94,2,4.17
Newborn,Onesie,2999.0,1,3,0,4.17,3.47,2,2.2
Newborn,Onesie,2999.0,1,4,0,2.2,3.07,4,2.5
Newborn,Onesie,2999.0,1,5,0,2.5,2.8,4,2.14
Newborn,Onesie,2999.0,2,6,0,2.14,2.75,2,2.88
Newborn,Onesie,2999.0,2,7,0,2.88,2.43,4,1.92
Newborn,Onesie,2999.0,2,8,0,1.92,2.36,2,2.67
Newborn,Onesie,2999.0,2,9,0,2.67,2.4,4,2.15
Newborn,Onesie,2999.0,3,10,1,2.15,2.4,3,5.33
Newborn,Onesie,2999.0,3,11,0,5.33,3.02,5,2.12
Newborn,Onesie,2999.0,3,12,0,2.12,3.07,4,1.89
Newborn,Onesie,2999.0,3,13,0,1.89,2.87,2,2.71
Newborn,Onesie,2999.0,4,14,0,2.71,3.01,5,2.26
Newborn,Onesie,2999.0,4,15,1,2.26,2.25,3,3.81
Newborn,Onesie,2999.0,4,16,0,3.81,2.67,3,2.72
Newborn,Onesie,2999.0,4,17,0,2.72,2.88,4,2.43
Newborn,Onesie,2999.0,5,18,0,2.43,2.8,3,2.21
Newborn,Onesie,2999.0,5,19,0,2.21,2.79,5,2.44
Newborn,Onesie,2999.0,5,20,0,2.44,2.45,3,2.22
Newborn,Onesie,2999.0,5,21,0,2.22,2.32,3,2.15
Newborn,Onesie,2999.0,5,22,0,2.15,2.26,2,2.47
Newborn,Onesie,2999.0,6,23,0,2.47,2.32,4,2.23
Newborn,Onesie,2999.0,6,24,0,2.23,2.27,2,1.88
Newborn,Onesie,2999.0,6,25,0,1.88,2.18,4,2.07
Newborn,Onesie,2999.0,6,26,0,2.07,2.16,2,2.26
Newborn,Onesie,2999.0,7,27,0,2.26,2.11,1,1.67
Newborn,Onesie,2999.0,7,28,0,1.67,1.97,2,2.28
Newborn,Onesie,2999.0,7,29,0,2.28,2.07,3,1.93
Newborn,Onesie,2999.0,7,30,0,1.93,2.04,2,1.87
Newborn,Onesie,2999.0,7,31,0,1.87,1.94,3,1.84
Newborn,Onesie,2999.0,8,32,0,1.84,1.98,2,2.19
Newborn,Onesie,2999.0,8,33,1,2.19,1.96,1,3.43
Newborn,Onesie,2999.0,8,34,0,3.43,2.33,3,1.6
Newborn,Onesie,2999.0,8,35,0,1.6,2.26,4,2.34
Newborn,Onesie,2999.0,9,36,1,2.34,2.39,3,3.2
Newborn,Onesie,2999.0,9,37,0,3.2,2.64,3,1.84
Newborn,Onesie,2999.0,9,38,0,1.84,2.24,3,1.75
Newborn,Onesie,2999.0,9,39,0,1.75,2.28,2,1.59
Newborn,Onesie,2999.0,10,40,0,1.59,2.09,3,2.12
Newborn,Onesie,2999.0,10,41,1,2.12,1.82,3,3.44
Newborn,Onesie,2999.0,10,42,0,3.44,2.22,1,1.4
Newborn,Onesie,2999.0,10,43,1,1.4,2.14,4,2.33
Newborn,Onesie,2999.0,10,44,1,2.33,2.32,2,3.59
Newborn,Onesie,2999.0,11,45,1,3.59,2.69,2,3.19
Newborn,Onesie,2999.0,11,46,0,3.19,2.63,5,1.34
Newborn,Onesie,2999.0,11,47,0,1.34,2.61,1,1.7
Newborn,Onesie,2999.0,11,48,0,1.7,2.46,3,1.95
Newborn,Onesie,2999.0,12,49,0,1.95,2.05,1,1.76
Newborn,Onesie,2999.0,12,50,0,1.76,1.69,1,1.84
Newborn,Onesie,2999.0,12,51,0,1.84,1.81,2,1.34
Newborn,Onesie,2999.0,12,52,1,1.34,1.73,2,4.26
Newborn,Onesie,2999.0,1,1,0,4.26,2.3,4,1.52
Newborn,Onesie,2999.0,1,2,1,1.52,2.24,3,3.74
Newborn,Onesie,2999.0,1,3,1,3.74,2.72,2,4.35
Newborn,Onesie,2999.0,1,4,0,4.35,3.47,3,1.89
Newborn,Onesie,2999.0,1,5,0,1.89,2.87,4,1.99
Newborn,Onesie,2999.0,2,6,0,1.99,2.99,6,1.79
Newborn,Onesie,2999.0,2,7,0,1.79,2.5,3,2.33
Newborn,Onesie,2999.0,2,8,0,2.33,2.0,3,2.39
Newborn,Onesie,2999.0,2,9,0,2.39,2.13,4,2.33
Newborn,Onesie,2999.0,3,10,1,2.33,2.21,3,3.26
Newborn,Onesie,2999.0,3,11,0,3.26,2.58,4,1.74
Newborn,Onesie,2999.0,3,12,0,1.74,2.43,1,2.7
Newborn,Onesie,2999.0,3,13,0,2.7,2.51,3,2.25
Newborn,Onesie,2999.0,4,14,0,2.25,2.49,2,3.25
Newborn,Onesie,2999.0,4,15,1,3.25,2.49,3,4.93
Newborn,Onesie,2999.0,4,16,0,4.93,3.28,5,3.06
Newborn,Onesie,2999.0,4,17,0,3.06,3.37,5,2.29
Newborn,Onesie,2999.0,4,18,0,2.29,3.38,3,2.17
Newborn,Onesie,2999.0,5,19,0,2.17,3.11,3,2.54
Newborn,Onesie,2999.0,5,20,0,2.54,2.51,4,2.67
Newborn,Onesie,2999.0,5,21,0,2.67,2.42,4,2.19
Newborn,Onesie,2999.0,5,22,0,2.19,2.39,2,2.41
Newborn,Onesie,2999.0,6,23,0,2.41,2.45,2,1.66
Newborn,Onesie,2999.0,6,24,0,1.66,2.23,3,1.85
Newborn,Onesie,2999.0,6,25,0,1.85,2.03,3,2.2
Newborn,Onesie,2999.0,6,26,0,2.2,2.03,3,1.92
Newborn,Onesie,2999.0,7,27,0,1.92,1.91,4,2.06
Newborn,Onesie,499.0,7,28,0,5.28,5.28,8,5.43
Newborn,Onesie,499.0,7,29,0,5.43,5.32,6,5.43
Newborn,Onesie,499.0,7,30,0,5.43,5.35,8,5.52
Newborn,Onesie,499.0,8,31,0,5.52,5.42,9,5.41
Newborn,Onesie,499.0,8,32,0,5.41,5.45,7,3.92
Newborn,Onesie,499.0,8,33,1,3.92,5.07,5,8.88
Newborn,Onesie,499.0,8,34,0,8.88,5.93,6,4.34
Newborn,Onesie,499.0,8,35,0,4.34,5.64,10,4.35
Newborn,Onesie,499.0,9,36,1,4.35,5.37,6,8.31
Newborn,Onesie,499.0,9,37,0,8.31,6.47,6,4.29
Newborn,Onesie,499.0,9,38,0,4.29,5.32,10,2.66
Newborn,Onesie,499.0,9,39,0,2.66,4.9,3,3.86
Newborn,Onesie,499.0,10,40,0,3.86,4.78,9,4.77
Newborn,Onesie,499.0,10,41,1,4.77,3.89,3,9.05
Newborn,Onesie,499.0,10,42,0,9.05,5.08,6,3.89
Newborn,Onesie,499.0,10,43,1,3.89,5.39,4,8.68
Newborn,Onesie,499.0,10,44,1,8.68,6.6,13,12.59
Newborn,Onesie,499.0,11,45,1,12.59,8.55,13,11.35
Newborn,Onesie,499.0,11,46,0,11.35,9.13,6,3.86
Newborn,Onesie,499.0,11,47,0,3.86,9.12,15,4.07
Newborn,Onesie,499.0,11,48,0,4.07,7.97,4,5.37
Newborn,Onesie,499.0,12,49,0,5.37,6.16,10,5.98
Newborn,Onesie,499.0,12,50,0,5.98,4.82,7,5.21
Newborn,Onesie,499.0,12,51,1,5.21,5.15,5,10.32
Newborn,Onesie,499.0,12,52,1,10.32,6.72,11,8.63
Newborn,Onesie,499.0,1,1,0,8.63,7.53,12,4.98
Newborn,Onesie,499.0,1,2,1,4.98,7.28,4,10.12
Newborn,Onesie,499.0,1,3,0,10.12,8.51,16,5.23
Newborn,Onesie,499.0,1,4,0,5.23,7.24,7,5.09
Newborn,Onesie,499.0,1,5,0,5.09,6.36,7,4.76
Newborn,Onesie,499.0,2,6,0,4.76,6.3,5,6.51
Newborn,Onesie,499.0,2,7,0,6.51,5.4,8,6.36
Newborn,Onesie,499.0,2,8,0,6.36,5.68,3,5.0
Newborn,Onesie,499.0,2,9,0,5.0,5.66,9,6.22
Newborn,Onesie,499.0,3,10,1,6.22,6.02,9,11.92
Newborn,Onesie,499.0,3,11,0,11.92,7.37,10,7.89
Newborn,Onesie,499.0,3,12,0,7.89,7.76,12,7.51
Newborn,Onesie,499.0,3,13,0,7.51,8.39,7,7.95
Newborn,Onesie,499.0,4,14,0,7.95,8.82,10,5.93
Newborn,Onesie,499.0,4,15,1,5.93,7.32,12,9.49
Newborn,Onesie,499.0,4,16,0,9.49,7.72,7,5.3
Newborn,Onesie,499.0,4,17,0,5.3,7.17,6,5.87
Newborn,Onesie,499.0,5,18,0,5.87,6.65,10,5.99
Newborn,Onesie,499.0,5,19,0,5.99,6.66,7,7.72
Newborn,Onesie,499.0,5,20,0,7.72,6.22,8,6.82
Newborn,Onesie,499.0,5,21,0,6.82,6.6,13,6.31
Newborn,Onesie,499.0,5,22,0,6.31,6.71,9,6.99
Newborn,Onesie,499.0,6,23,0,6.99,6.96,6,6.23
Newborn,Onesie,499.0,6,24,0,6.23,6.59,4,6.29
Newborn,Onesie,499.0,6,25,0,6.29,6.46,9,5.27
Newborn,Onesie,499.0,6,26,0,5.27,6.19,11,4.27
Newborn,Onesie,499.0,7,27,0,4.27,5.51,10,4.03
Newborn,Onesie,499.0,7,28,0,4.03,4.96,6,3.94
Newborn,Onesie,499.0,7,29,0,3.94,4.38,5,5.5
Newborn,Onesie,499.0,7,30,0,5.5,4.44,6,4.32
Newborn,Onesie,499.0,7,31,0,4.32,4.45,4,4.56
Newborn,Onesie,499.0,8,32,0,4.56,4.58,5,3.77
Newborn,Onesie,499.0,8,33,1,3.77,4.54,3,10.67
Newborn,Onesie,499.0,8,34,0,10.67,5.83,3,4.48
Newborn,Onesie,499.0,8,35,0,4.48,5.87,8,4.56
Newborn,Onesie,499.0,9,36,1,4.56,5.87,9,9.11
Newborn,Onesie,499.0,9,37,0,9.11,7.2,5,4.58
Newborn,Onesie,499.0,9,38,0,4.58,5.68,8,5.01
Newborn,Onesie,499.0,9,39,0,5.01,5.82,11,4.68
Newborn,Onesie,499.0,10,40,0,4.68,5.85,11,3.63
Newborn,Onesie,499.0,10,41,1,3.63,4.48,6,7.44
Newborn,Onesie,499.0,10,42,0,7.44,5.19,5,6.04
Newborn,Onesie,499.0,10,43,1,6.04,5.45,5,9.87
Newborn,Onesie,499.0,10,44,1,9.87,6.74,4,11.69
Newborn,Onesie,499.0,11,45,1,11.69,8.76,11,8.56
Newborn,Onesie,499.0,11,46,0,8.56,9.04,8,5.56
Newborn,Onesie,499.0,11,47,0,5.56,8.92,8,4.94
Newborn,Onesie,499.0,11,48,0,4.94,7.69,6,4.91
Newborn,Onesie,499.0,12,49,0,4.91,5.99,12,4.84
Newborn,Onesie,499.0,12,50,0,4.84,5.06,3,5.54
Newborn,Onesie,499.0,12,51,0,5.54,5.06,5,5.46
Newborn,Onesie,499.0,12,52,1,5.46,5.19,10,10.09
Newborn,Onesie,499.0,1,1,0,10.09,6.48,4,4.86
Newborn,Onesie,499.0,1,2,1,4.86,6.49,10,10.64
Newborn,Onesie,499.0,1,3,1,10.64,7.76,6,11.13
